part_id,machine_id,temperature_c,pressure_bar,cycle_time_s,shift,material_batch,operator_experience_years,vibration_mm_s,humidity_percent,scrap
P001234,M3,188.0,5.71,43.3,early,B2,4.7,2.2,41.3,0
P001235,M1,184.0,5.08,41.0,early,B1,3.2,2.58,42.0,0
P001236,M1,183.7,5.73,54.2,early,B4,9.1,2.17,50.3,1
P001237,M1,176.8,6.11,47.2,late,B3,3.2,2.44,41.5,0
P001238,M2,192.0,5.86,47.5,late,B5,11.6,2.65,36.3,1
P001239,M1,176.9,5.48,54.1,night,B1,2.0,2.4,38.8,1
P001240,M1,176.1,5.56,42.7,late,B4,3.9,2.93,51.1,0
P001241,M4,190.4,5.7,49.1,late,B5,6.3,2.85,53.5,0
P001242,M2,196.8,5.65,43.5,early,B3,5.4,2.17,43.9,0
P001243,M2,183.3,5.36,51.1,early,B4,3.7,2.0,44.8,0
P001244,M1,189.5,5.78,41.7,night,B3,0.9,2.5,52.9,0
P001245,M2,191.4,5.33,50.0,early,B3,4.3,3.28,49.3,0
P001246,M2,186.5,6.13,55.6,early,B5,2.9,2.0,57.5,0
P001247,M3,190.3,6.17,46.4,night,B3,2.4,2.21,46.7,0
P001248,M1,183.1,5.45,37.7,night,B3,6.6,3.37,41.3,0
P001249,M4,186.8,5.55,46.9,late,B5,0.7,2.38,56.7,0
P001250,M4,177.1,5.65,48.6,early,B3,3.8,3.64,45.5,0
P001251,M1,177.3,5.79,49.4,night,B1,0.2,1.93,41.7,0
P001252,M1,190.4,5.89,51.6,early,B4,5.5,2.01,55.1,0
P001253,M1,187.0,5.96,51.8,late,B4,6.6,1.98,59.6,0
P001254,M3,182.2,5.95,45.5,early,B2,4.3,1.72,49.5,0
P001255,M1,194.5,6.34,43.5,night,B4,2.7,1.54,40.0,1
P001256,M4,194.4,5.82,42.5,night,B1,9.0,2.4,60.3,0
P001257,M4,186.4,5.34,44.7,late,B2,9.4,2.57,51.0,0
P001258,M4,176.0,5.24,48.6,early,B5,4.9,2.18,49.8,0
P001259,M3,182.4,6.37,40.9,late,B4,10.3,2.09,44.8,0
P001260,M4,179.4,5.98,43.3,early,B4,2.0,3.15,57.0,0
P001261,M1,184.5,5.87,48.1,night,B4,3.5,2.74,39.1,0
P001262,M2,181.9,5.96,45.7,early,B1,0.4,2.63,38.4,0
P001263,M2,180.4,5.86,49.6,early,B5,1.5,2.94,63.2,0
P001264,M4,171.6,5.95,43.7,late,B2,1.4,1.76,41.1,0
P001265,M3,183.9,5.67,47.1,late,B4,5.5,2.42,55.7,0
P001266,M4,171.4,6.17,43.9,night,B5,1.6,2.47,59.0,0
P001267,M1,182.2,5.62,38.8,early,B2,0.7,2.13,49.7,0
P001268,M4,187.8,5.48,50.4,night,B4,2.3,2.51,41.0,0
P001269,M2,183.0,5.21,45.6,early,B1,2.5,2.69,53.0,0
P001270,M2,181.0,5.72,47.3,early,B4,1.2,2.16,59.1,0
P001271,M4,183.6,6.24,44.2,late,B3,4.1,3.26,50.7,0
P001272,M2,182.4,5.64,50.3,early,B1,4.6,3.18,42.0,0
P001273,M2,188.0,5.32,49.5,late,B4,1.0,2.58,50.4,0
P001274,M3,177.3,5.9,48.1,early,B5,6.0,1.51,36.9,0
P001275,M1,183.4,5.57,43.9,early,B1,1.8,1.19,40.2,0
P001276,M2,185.1,6.34,48.0,late,B5,2.5,3.65,45.9,1
P001277,M1,183.9,6.18,47.6,early,B5,5.2,2.22,48.5,0
P001278,M1,193.0,5.36,51.9,late,B3,2.5,2.64,38.4,0
P001279,M4,185.1,5.74,48.0,late,B5,1.5,2.07,50.0,0
P001280,M3,185.8,5.54,42.2,early,B2,3.9,2.16,52.2,0
P001281,M2,183.6,5.39,49.2,night,B4,7.6,2.63,46.3,0
P001282,M2,188.2,5.78,47.6,early,B4,7.0,2.86,30.7,0
P001283,M2,185.5,6.09,40.6,early,B3,2.3,2.79,48.8,0
P001284,M3,183.2,5.77,39.0,early,B5,1.7,1.88,62.5,0
P001285,M4,187.6,5.62,46.5,night,B5,2.0,2.08,51.7,0
P001286,M4,181.2,5.03,46.9,late,B4,7.1,2.46,48.1,0
P001287,M2,184.8,5.57,47.1,late,B3,2.0,1.96,45.0,0
P001288,M2,184.3,5.99,51.6,night,B5,10.0,2.38,52.6,0
P001289,M2,184.2,5.33,44.6,early,B3,5.2,2.68,49.7,0
P001290,M3,184.0,6.25,40.7,night,B4,3.6,2.48,53.7,0
P001291,M2,185.0,5.6,45.1,late,B1,2.3,3.43,39.2,0
P001292,M3,191.2,5.87,43.7,night,B2,3.9,2.09,49.0,0
P001293,M3,197.7,5.66,45.8,night,B5,1.5,2.32,44.3,0
P001294,M2,183.9,5.39,45.2,night,B3,1.0,1.91,51.0,0
P001295,M2,188.6,5.95,40.1,early,B3,5.2,2.9,32.4,0
P001296,M2,192.7,5.59,38.4,night,B5,3.6,2.34,44.9,0
P001297,M1,182.5,5.51,46.5,night,B2,6.2,2.16,52.3,0
P001298,M1,178.5,4.97,41.7,late,B2,4.5,2.51,53.6,0
P001299,M3,192.6,6.26,38.4,early,B1,2.2,2.53,47.8,0
P001300,M2,190.8,5.8,50.6,night,B2,7.0,2.1,30.7,0
P001301,M1,185.8,6.19,51.9,early,B3,2.5,2.66,53.1,0
P001302,M3,191.0,6.02,45.6,late,B4,8.3,2.28,60.7,1
P001303,M4,188.2,6.19,47.8,late,B2,2.4,3.07,41.3,0
P001304,M2,186.7,5.6,49.3,early,B3,1.2,3.41,44.6,0
P001305,M4,178.6,5.32,38.0,late,B2,9.3,3.22,54.5,0
P001306,M4,181.3,6.07,50.2,early,B5,2.3,1.86,54.7,0
P001307,M3,189.6,5.85,50.7,late,B3,2.5,2.48,56.8,0
P001308,M3,186.8,5.64,53.0,night,B1,1.2,1.59,56.1,0
P001309,M1,183.0,6.06,44.3,early,B4,3.4,2.89,35.7,0
P001310,M4,193.7,5.91,42.5,late,B2,1.4,3.15,44.2,0
P001311,M2,186.1,6.02,53.4,early,B5,9.0,3.19,53.0,0
P001312,M4,189.4,5.44,48.7,night,B2,2.8,2.31,47.3,0
P001313,M3,184.2,6.14,49.3,night,B5,1.8,2.54,50.9,0
P001314,M1,194.6,5.8,43.5,early,B4,3.8,2.05,47.0,0
P001315,M1,188.1,6.18,47.0,late,B1,12.0,2.31,44.5,0
P001316,M3,183.3,6.14,42.0,late,B4,3.9,2.26,46.1,0
P001317,M3,182.0,6.04,46.0,late,B4,3.1,1.4,39.0,0
P001318,M1,183.9,5.76,44.7,late,B3,3.7,1.94,42.2,0
P001319,M3,179.0,6.05,54.9,late,B1,6.4,3.32,47.5,0
P001320,M4,176.5,6.19,48.9,late,B3,6.0,2.46,47.6,0
P001321,M2,188.7,6.01,40.0,early,B4,4.4,2.82,52.5,0
P001322,M2,184.1,5.87,48.2,early,B1,7.2,2.75,45.7,0
P001323,M1,181.1,6.05,47.4,night,B2,3.9,2.12,61.4,0
P001324,M4,183.5,5.62,45.0,early,B4,3.2,2.52,57.8,0
P001325,M2,187.3,6.33,44.0,late,B3,3.8,2.57,44.0,0
P001326,M4,184.0,5.21,49.3,early,B5,2.4,1.47,49.6,0
P001327,M2,196.6,5.81,44.5,night,B2,6.5,3.1,57.7,1
P001328,M3,186.6,5.66,48.2,late,B4,2.3,3.03,42.9,0
P001329,M2,198.6,5.58,44.2,late,B3,0.6,2.23,42.0,0
P001330,M1,181.6,5.91,44.0,early,B2,1.0,2.11,58.4,0
P001331,M4,188.3,5.41,50.4,late,B5,4.7,3.17,53.5,0
P001332,M2,184.9,6.55,50.1,night,B4,2.0,2.4,56.6,0
P001333,M3,179.9,5.33,46.1,late,B3,6.1,2.47,50.5,0
P001334,M4,195.8,5.47,46.7,late,B2,3.6,4.45,46.0,0
P001335,M4,179.8,5.43,47.1,late,B5,6.5,2.78,37.3,0
P001336,M4,171.7,5.87,43.8,early,B1,0.6,2.53,49.1,0
P001337,M1,180.1,6.16,40.2,late,B1,2.3,2.7,57.9,0
P001338,M3,172.0,5.98,48.2,early,B1,1.7,2.65,58.0,0
P001339,M4,178.8,6.32,52.6,early,B4,12.0,2.2,56.6,0
P001340,M2,182.3,5.51,50.5,late,B1,2.6,1.97,54.3,0
P001341,M1,184.2,6.03,47.0,night,B4,1.0,2.57,65.7,0
P001342,M4,172.7,5.69,42.2,night,B1,4.7,2.83,35.6,0
P001343,M2,193.6,5.88,51.5,night,B4,1.6,2.62,49.8,0
P001344,M3,172.7,6.19,47.8,late,B4,6.9,3.04,40.5,1
P001345,M4,183.3,5.21,49.7,early,B5,7.7,3.15,60.4,0
P001346,M3,181.2,6.5,49.9,late,B2,1.7,2.65,43.6,0
P001347,M2,191.5,5.75,54.2,night,B1,2.1,2.62,56.1,0
P001348,M2,188.9,5.24,44.0,late,B4,4.4,1.81,44.4,0
P001349,M2,193.5,5.56,43.3,late,B3,7.0,2.67,51.4,0
P001350,M1,182.0,5.84,46.6,late,B5,4.7,1.47,47.1,0
P001351,M4,181.4,5.56,43.3,night,B1,2.6,1.44,47.9,0
P001352,M4,186.3,5.08,42.6,night,B3,1.2,2.79,50.7,0
P001353,M2,192.7,5.83,52.8,night,B1,10.6,3.28,55.4,0
P001354,M2,191.5,5.55,44.4,late,B3,4.8,1.87,47.1,0
P001355,M4,185.8,6.03,46.8,early,B1,12.0,2.38,55.1,0
P001356,M1,185.3,5.43,39.8,late,B4,5.3,2.29,56.3,0
P001357,M3,182.8,6.59,46.2,early,B4,11.0,2.17,44.7,0
P001358,M2,189.3,5.98,52.7,night,B1,1.9,2.13,63.1,0
P001359,M3,194.2,5.87,50.6,late,B3,2.0,2.9,54.0,0
P001360,M1,182.7,6.02,50.0,late,B3,3.2,1.69,44.5,0
P001361,M3,181.0,5.16,45.7,early,B4,1.8,1.42,52.9,0
P001362,M2,184.6,5.63,52.4,late,B3,0.8,2.13,56.3,0
P001363,M3,185.1,6.42,47.6,late,B3,2.2,2.52,52.7,0
P001364,M1,172.3,5.69,44.3,early,B5,5.2,2.18,49.6,0
P001365,M2,186.3,5.78,49.7,night,B3,1.3,2.4,25.0,0
P001366,M3,187.8,5.64,49.4,early,B5,1.4,2.54,40.3,0
P001367,M1,181.1,6.31,41.0,late,B5,2.3,2.45,53.4,0
P001368,M1,185.0,5.71,42.0,early,B5,1.6,1.26,40.1,1
P001369,M1,195.6,5.36,45.5,late,B5,2.4,2.53,52.1,0
P001370,M2,188.8,6.7,43.6,late,B4,3.3,3.28,55.1,0
P001371,M1,171.7,5.32,41.3,night,B3,1.4,2.24,47.1,0
P001372,M4,176.2,5.77,45.2,early,B3,2.4,2.39,33.9,0
P001373,M2,185.6,5.51,52.0,night,B2,3.6,3.6,42.1,0
P001374,M4,179.6,5.55,50.5,late,B5,1.9,2.18,53.5,0
P001375,M4,184.6,5.43,48.0,early,B4,1.2,2.43,58.1,0
P001376,M1,182.4,5.61,46.7,early,B5,2.0,2.45,31.3,0
P001377,M3,189.4,6.14,53.9,early,B4,2.7,2.32,48.6,0
P001378,M4,178.0,5.13,44.8,night,B3,0.8,2.38,36.3,0
P001379,M3,181.9,6.24,46.9,early,B2,5.3,2.34,48.7,0
P001380,M2,188.2,6.18,46.0,late,B5,2.8,3.46,46.7,0
P001381,M2,188.9,5.98,43.3,late,B4,2.0,3.11,66.9,0
P001382,M1,184.8,5.84,50.5,night,B5,0.9,2.27,43.7,0
P001383,M3,169.7,5.9,44.8,late,B3,4.8,1.91,56.4,0
P001384,M4,184.5,6.3,49.4,night,B3,7.7,2.17,56.1,0
P001385,M4,183.2,5.19,45.9,early,B1,2.3,2.93,46.4,0
P001386,M1,188.8,6.05,50.7,night,B1,11.4,1.58,49.0,0
P001387,M3,187.0,5.54,42.2,early,B4,3.4,3.38,48.0,1
P001388,M2,188.3,6.09,52.6,early,B2,3.5,2.74,42.0,0
P001389,M4,185.7,5.59,50.2,night,B1,6.3,1.88,41.4,0
P001390,M1,191.4,6.05,39.2,early,B4,5.0,2.38,44.7,0
P001391,M4,190.3,5.26,44.8,early,B4,1.3,2.14,38.9,0
P001392,M4,185.5,5.21,50.7,late,B1,2.2,2.31,44.0,0
P001393,M1,195.8,5.76,52.2,early,B3,7.0,1.62,46.4,0
P001394,M1,180.5,6.3,48.7,early,B3,5.1,2.19,49.3,0
P001395,M4,177.5,5.99,45.3,late,B1,11.4,1.54,51.5,0
P001396,M1,183.9,5.99,42.3,night,B4,4.5,2.03,46.4,0
P001397,M3,180.9,6.1,48.2,night,B2,5.2,1.93,41.8,0
P001398,M4,170.4,5.66,45.2,early,B5,2.0,2.27,51.4,1
P001399,M3,179.4,6.01,44.5,late,B1,7.6,1.96,54.3,0
P001400,M2,188.9,5.6,47.3,night,B5,0.4,2.77,44.1,0
P001401,M2,186.7,5.69,51.6,early,B1,4.0,3.15,40.1,0
P001402,M1,179.7,5.73,52.9,early,B4,5.3,2.46,44.4,1
P001403,M4,184.2,5.61,50.7,early,B4,4.3,3.08,46.5,0
P001404,M2,187.7,5.78,48.2,late,B3,3.5,2.53,57.2,0
P001405,M1,187.9,5.71,42.6,early,B2,3.2,2.45,53.6,0
P001406,M2,183.5,5.55,50.7,late,B1,3.6,2.91,48.0,0
P001407,M4,188.8,5.75,53.1,night,B2,1.5,3.02,63.2,1
P001408,M1,178.0,5.85,49.8,early,B4,4.3,1.97,47.7,0
P001409,M4,181.2,5.42,47.6,late,B4,2.0,2.85,59.3,0
P001410,M3,192.3,5.95,44.1,early,B1,2.3,1.91,57.8,0
P001411,M4,178.4,5.63,48.1,early,B1,1.3,2.24,57.2,0
P001412,M4,180.4,5.87,51.2,night,B3,12.0,2.34,50.6,0
P001413,M4,177.1,5.57,47.7,late,B3,4.1,2.7,48.9,0
P001414,M4,179.5,6.17,46.4,night,B5,1.1,2.01,48.0,0
P001415,M1,184.8,6.13,43.4,late,B4,3.8,1.87,54.8,0
P001416,M4,187.9,5.43,56.6,early,B3,7.6,2.21,41.7,0
P001417,M3,182.9,5.98,42.6,late,B3,4.3,2.32,45.9,0
P001418,M3,181.2,6.31,42.3,early,B4,3.4,1.88,61.3,1
P001419,M4,177.2,5.47,47.4,night,B3,1.9,2.62,53.0,0
P001420,M4,180.0,5.5,46.0,late,B4,4.3,2.34,55.6,1
P001421,M3,174.5,6.06,49.9,early,B1,5.9,2.6,38.2,0
P001422,M2,191.1,5.34,52.2,late,B5,5.9,2.78,44.5,0
P001423,M2,191.4,5.53,43.6,late,B5,4.0,3.54,50.7,0
P001424,M2,186.8,5.44,45.3,night,B3,4.0,2.8,47.7,0
P001425,M2,189.4,6.06,44.9,early,B3,8.4,2.2,38.2,0
P001426,M2,191.8,5.56,51.2,early,B3,7.9,2.65,54.1,0
P001427,M1,184.6,5.7,47.6,early,B5,3.0,2.31,56.6,0
P001428,M1,191.7,5.54,44.6,early,B1,10.8,1.89,45.7,0
P001429,M4,178.4,6.2,47.6,late,B2,1.1,3.18,54.4,0
P001430,M2,185.1,5.5,43.9,early,B4,4.1,2.61,64.2,0
P001431,M4,181.4,5.31,44.0,late,B4,4.4,2.21,60.2,0
P001432,M3,186.6,5.29,41.1,late,B2,1.8,2.38,46.1,0
P001433,M1,176.1,6.04,46.6,early,B1,0.9,1.89,39.2,0
P001434,M1,192.0,6.07,46.5,night,B3,1.8,2.73,49.8,0
P001435,M1,187.1,6.24,42.3,late,B4,6.7,2.64,66.8,0
P001436,M4,193.6,5.36,48.4,early,B4,6.8,2.56,58.7,0
P001437,M1,183.8,5.72,50.0,late,B1,5.7,2.57,48.0,0
P001438,M3,180.0,6.65,42.1,early,B1,2.0,2.08,60.5,0
P001439,M4,187.6,5.69,45.6,night,B2,6.9,1.82,57.3,0
P001440,M4,189.7,5.6,48.8,late,B3,2.1,2.35,32.8,0
P001441,M1,180.1,5.79,46.0,late,B1,4.3,2.07,56.5,0
P001442,M1,173.0,5.99,40.8,night,B1,3.5,1.38,49.0,0
P001443,M1,174.0,5.98,44.3,night,B3,2.6,1.82,41.1,0
P001444,M1,185.4,5.58,44.2,night,B2,5.5,1.75,48.7,0
P001445,M1,192.5,5.6,45.4,early,B4,6.2,1.83,51.3,0
P001446,M3,175.8,5.7,45.5,early,B1,1.9,2.9,41.6,0
P001447,M4,182.5,5.54,52.8,late,B5,3.7,2.73,47.0,0
P001448,M3,181.1,5.37,45.2,late,B1,6.0,2.73,45.4,0
P001449,M3,193.6,6.43,39.5,late,B3,0.2,2.53,54.4,0
P001450,M1,196.4,5.66,46.3,night,B5,4.7,2.79,45.6,0
P001451,M4,186.3,5.68,53.4,early,B4,6.1,2.51,34.4,0
P001452,M3,187.9,5.69,45.4,early,B5,4.9,2.98,44.4,0
P001453,M4,188.8,5.77,45.1,late,B1,5.0,1.95,40.4,0
P001454,M4,177.0,5.95,45.6,early,B4,3.4,2.47,37.6,0
P001455,M2,190.8,5.64,50.4,late,B1,5.8,2.29,57.4,0
P001456,M1,178.4,6.2,44.8,late,B4,1.3,2.86,54.4,0
P001457,M1,183.1,6.01,40.2,late,B2,1.8,2.49,40.3,0
P001458,M2,193.3,5.73,45.6,late,B4,5.0,3.28,37.8,0
P001459,M4,184.4,5.57,46.6,late,B1,5.8,1.87,47.2,0
P001460,M2,193.1,6.18,50.2,late,B5,7.6,2.48,37.4,0
P001461,M4,191.1,5.74,44.6,early,B3,9.8,1.7,46.1,0
P001462,M3,173.3,5.37,44.9,late,B3,2.0,2.46,48.6,0
P001463,M1,172.0,6.16,46.2,late,B3,1.5,2.11,50.4,0
P001464,M2,193.4,5.55,45.2,early,B1,6.6,3.09,50.7,0
P001465,M3,189.6,6.1,45.7,late,B2,2.6,2.31,41.8,0
P001466,M3,184.4,4.92,47.8,night,B4,3.5,1.34,48.6,0
P001467,M2,189.2,5.67,43.7,early,B5,6.1,2.0,58.2,0
P001468,M1,188.9,6.21,47.2,late,B5,4.1,2.34,31.2,0
P001469,M3,187.8,5.8,41.9,night,B3,5.7,2.51,50.6,0
P001470,M1,182.3,6.01,41.9,night,B2,1.9,1.3,38.6,0
P001471,M4,189.3,5.48,44.3,late,B3,4.5,2.46,59.2,0
P001472,M1,182.1,5.92,51.2,late,B3,4.4,1.84,54.5,0
P001473,M1,185.3,5.8,39.5,night,B2,7.5,1.8,54.3,0
P001474,M2,188.1,5.89,46.4,late,B2,8.7,2.46,41.2,0
P001475,M3,178.3,6.51,45.9,early,B5,2.5,2.36,50.1,0
P001476,M3,178.9,6.26,50.4,early,B2,1.6,1.98,51.0,0
P001477,M2,199.3,6.08,55.6,night,B1,5.9,1.86,29.0,0
P001478,M4,179.1,6.08,45.2,late,B4,0.8,2.55,49.2,0
P001479,M2,189.0,5.48,50.2,early,B4,6.2,2.59,52.9,0
P001480,M2,190.2,5.64,47.8,early,B2,6.5,2.33,36.7,0
P001481,M2,186.7,5.26,47.8,night,B4,2.4,2.61,52.8,0
P001482,M1,187.7,5.36,47.0,late,B5,0.3,2.14,48.8,0
P001483,M3,184.8,5.49,40.0,night,B5,7.0,2.32,59.1,0
P001484,M1,179.2,5.79,45.8,late,B4,9.0,2.19,44.7,1
P001485,M3,186.0,5.37,47.7,night,B3,8.6,2.37,49.4,0
P001486,M1,181.0,5.79,42.7,night,B1,8.8,2.28,50.7,0
P001487,M4,193.6,5.75,48.5,early,B3,1.2,2.87,25.5,0
P001488,M2,189.4,5.4,41.6,late,B5,3.8,3.46,45.2,0
P001489,M4,180.1,6.33,47.2,early,B5,4.4,2.49,48.7,0
P001490,M2,188.9,5.34,53.3,night,B4,3.9,2.47,29.1,0
P001491,M1,178.9,6.19,45.2,early,B5,5.7,1.65,53.4,0
P001492,M4,185.4,5.01,43.1,late,B3,1.5,2.79,48.7,0
P001493,M3,181.8,5.75,40.6,night,B1,0.8,1.89,48.6,0
P001494,M4,179.5,5.38,48.3,early,B3,0.6,3.56,53.8,0
P001495,M2,182.4,5.57,51.7,night,B2,7.1,4.0,44.7,0
P001496,M3,196.4,6.43,45.8,early,B5,1.2,2.2,48.3,0
P001497,M4,184.5,5.68,45.0,late,B4,3.9,1.75,54.9,0
P001498,M3,180.6,5.41,38.7,late,B3,2.3,2.59,48.4,0
P001499,M2,183.7,5.97,48.7,early,B2,2.4,3.69,33.2,0
P001500,M3,185.6,5.68,43.4,late,B1,3.1,1.71,48.4,0
P001501,M3,179.5,5.85,43.6,night,B1,2.4,3.15,48.5,0
P001502,M4,178.0,5.48,52.9,early,B2,0.8,1.67,55.2,0
P001503,M2,186.8,5.5,41.4,late,B2,3.1,2.1,45.3,0
P001504,M2,186.8,5.52,41.9,night,B2,1.9,2.89,40.2,0
P001505,M4,181.7,6.08,47.7,night,B5,1.8,2.96,40.2,0
P001506,M3,178.1,5.72,44.5,early,B4,10.7,2.27,59.5,0
P001507,M3,180.8,5.43,44.0,night,B3,1.0,2.5,50.3,0
P001508,M2,184.4,5.86,49.2,early,B1,3.0,3.25,59.1,0
P001509,M1,180.7,5.83,47.0,late,B5,4.2,2.85,60.3,0
P001510,M3,184.5,6.0,42.3,late,B4,10.7,2.02,42.1,0
P001511,M1,196.2,5.63,43.8,night,B3,1.4,1.91,41.4,0
P001512,M1,191.3,5.77,46.2,early,B3,8.4,2.77,47.0,0
P001513,M3,193.7,5.95,46.6,early,B3,3.1,2.5,52.9,0
P001514,M3,179.9,5.45,47.8,night,B5,3.2,2.56,36.8,0
P001515,M4,193.2,6.11,44.6,early,B4,5.5,2.2,51.6,0
P001516,M2,188.3,5.81,49.5,late,B3,9.2,3.04,51.2,0
P001517,M1,189.4,5.41,49.6,late,B4,2.4,1.81,39.0,0
P001518,M4,186.5,5.41,47.0,late,B5,4.4,2.61,39.3,0
P001519,M1,182.1,5.77,45.6,early,B2,4.0,2.35,51.6,0
P001520,M1,188.0,5.61,45.1,early,B5,3.8,2.35,64.6,0
P001521,M2,189.7,6.06,45.9,night,B4,6.1,3.1,45.6,0
P001522,M3,173.3,5.7,42.4,late,B1,2.0,1.84,50.6,0
P001523,M4,183.3,5.91,45.7,early,B5,2.7,2.8,43.2,0
P001524,M4,188.8,5.5,48.5,early,B4,0.8,2.51,49.9,0
P001525,M3,184.5,5.79,42.6,early,B2,5.2,1.94,43.0,0
P001526,M1,186.6,6.26,45.7,night,B2,3.7,1.71,45.9,0
P001527,M2,182.9,5.75,47.5,early,B5,9.1,3.6,67.6,0
P001528,M2,188.4,5.61,55.0,early,B5,1.4,2.72,48.9,0
P001529,M1,183.5,5.5,48.7,late,B1,11.6,2.14,35.5,0
P001530,M2,185.9,5.79,50.9,early,B4,5.8,2.24,53.1,0
P001531,M2,183.3,6.29,51.7,early,B1,5.6,3.24,57.0,0
P001532,M1,189.0,5.32,43.9,night,B2,2.2,2.75,53.4,0
P001533,M3,184.9,5.78,51.2,late,B3,2.9,2.67,46.6,0
P001534,M3,184.3,5.2,46.6,early,B2,2.5,2.27,40.7,0
P001535,M1,195.3,5.66,45.8,late,B3,8.0,2.64,40.9,0
P001536,M2,189.6,5.89,43.6,early,B3,0.7,2.38,46.5,0
P001537,M4,190.6,5.25,45.3,early,B3,3.2,2.6,45.1,0
P001538,M3,184.5,5.64,39.3,late,B5,3.4,2.28,43.5,0
P001539,M4,182.1,5.9,45.9,late,B1,2.5,2.62,57.7,0
P001540,M2,181.2,5.85,46.0,late,B4,1.7,1.93,55.4,0
P001541,M4,185.3,5.92,45.3,night,B2,0.4,3.34,58.1,1
P001542,M1,169.4,5.46,40.7,early,B1,3.3,3.03,41.7,0
P001543,M2,188.5,5.9,50.9,night,B3,5.2,2.23,40.6,1
P001544,M1,185.7,5.59,48.3,late,B2,3.7,2.56,48.6,0
P001545,M2,185.8,6.05,54.6,early,B1,1.7,2.08,51.3,0
P001546,M2,186.5,4.99,54.5,night,B3,3.5,2.79,48.6,1
P001547,M1,177.1,5.7,46.6,early,B5,9.1,1.31,50.8,0
P001548,M4,191.6,5.83,50.7,late,B3,2.1,2.37,60.7,0
P001549,M2,185.1,6.27,49.2,late,B4,4.1,2.53,46.3,0
P001550,M2,181.7,5.83,46.6,early,B1,4.5,3.27,54.5,0
P001551,M1,187.0,5.87,44.9,night,B1,1.1,3.05,52.1,0
P001552,M2,187.6,5.93,50.6,early,B2,2.8,3.51,48.8,1
P001553,M2,185.0,6.24,63.7,night,B4,2.8,3.27,54.1,1
P001554,M2,184.4,5.67,52.6,early,B5,3.6,2.79,41.9,0
P001555,M1,184.0,5.31,46.9,early,B1,7.8,2.47,40.2,0
P001556,M4,191.4,5.24,48.6,early,B3,1.3,2.67,51.5,0
P001557,M4,186.6,6.03,48.6,night,B2,8.2,1.97,34.9,0
P001558,M2,186.8,5.88,47.9,early,B4,5.5,3.27,52.1,0
P001559,M3,187.7,5.71,48.9,night,B2,11.8,2.61,39.0,0
P001560,M4,184.2,5.59,46.2,early,B3,0.5,2.83,60.1,0
P001561,M4,186.2,5.86,43.0,late,B5,0.2,1.47,44.8,0
P001562,M3,183.8,5.87,47.8,early,B3,12.0,2.5,59.6,0
P001563,M4,187.2,5.97,49.1,early,B4,1.0,2.95,46.3,0
P001564,M4,181.6,5.41,46.2,night,B4,1.8,2.49,46.0,0
P001565,M4,177.7,5.18,48.0,late,B3,1.8,2.27,54.9,0
P001566,M2,192.0,5.48,51.9,late,B2,5.3,2.14,50.3,1
P001567,M1,192.3,5.33,45.8,late,B5,3.0,1.65,47.5,0
P001568,M1,178.0,5.31,44.3,late,B2,2.0,2.37,44.8,0
P001569,M2,188.0,6.35,45.5,late,B5,10.5,2.64,44.8,0
P001570,M2,184.5,5.01,47.2,night,B5,0.4,2.64,66.9,0
P001571,M2,191.9,5.96,54.0,late,B3,6.9,3.44,34.6,0
P001572,M3,184.4,6.12,45.2,late,B5,3.4,1.73,38.4,0
P001573,M3,201.3,6.15,47.4,late,B4,2.0,2.14,57.4,1
P001574,M4,182.3,5.9,45.6,late,B4,2.2,3.26,56.8,0
P001575,M1,192.5,6.26,44.4,late,B1,2.8,2.16,40.6,0
P001576,M1,193.0,6.42,42.7,late,B1,1.8,2.33,34.0,0
P001577,M4,186.9,5.69,47.2,late,B1,6.2,2.42,58.2,0
P001578,M4,184.2,5.96,44.8,night,B1,2.6,2.82,39.6,0
P001579,M4,184.5,6.25,51.6,night,B5,5.6,1.58,44.1,0
P001580,M4,184.1,5.5,46.4,night,B1,2.2,2.41,48.8,1
P001581,M4,190.2,5.71,46.6,night,B1,4.1,2.52,39.4,0
P001582,M2,182.2,5.58,47.5,late,B5,4.1,2.3,55.4,1
P001583,M2,186.1,5.96,49.6,late,B2,3.6,2.9,48.2,0
P001584,M2,185.4,5.14,53.9,early,B5,8.3,3.1,40.9,0
P001585,M3,173.5,6.3,42.0,late,B5,8.9,2.5,41.6,1
P001586,M4,188.7,5.99,47.9,early,B3,6.0,3.3,58.4,1
P001587,M2,192.8,6.01,42.2,early,B5,7.3,2.55,45.8,0
P001588,M3,179.5,4.97,50.6,night,B5,5.7,2.52,52.9,0
P001589,M2,192.7,5.44,47.8,night,B1,2.4,2.96,47.9,0
P001590,M1,175.3,6.32,40.3,late,B1,3.2,2.19,34.0,0
P001591,M1,184.1,5.74,41.2,early,B2,0.5,2.81,54.0,0
P001592,M1,183.3,5.2,49.1,late,B3,1.6,2.43,56.6,0
P001593,M4,184.5,5.88,40.5,late,B4,1.0,1.96,62.7,0
P001594,M2,187.5,6.04,49.3,night,B1,2.0,3.09,32.8,0
P001595,M4,183.6,5.99,45.2,night,B1,4.3,2.28,25.0,0
P001596,M3,180.9,5.75,45.3,early,B2,2.4,2.15,53.1,0
P001597,M1,183.4,6.2,43.4,early,B2,6.4,2.19,43.2,0
P001598,M1,191.5,5.55,42.4,early,B5,1.6,2.63,36.6,0
P001599,M4,180.8,5.99,44.9,early,B2,5.4,2.99,48.9,0
